epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.886,2.14312,2.7661,1.98197,0.08946,0.09502,0.04109,0.01256,2.98052,24.8549,2.83009,0.0701389,0.0033179,0.0033179
2,652.191,2.18244,2.64513,2.02094,0.13145,0.32588,0.0954,0.032,2.49364,42.3191,2.40148,0.0400448,0.00655717,0.00655717
3,971.95,2.14508,2.61537,1.99554,0.16405,0.33447,0.11371,0.03638,2.42132,6.95237,2.19964,0.00985647,0.00970215,0.00970215
4,1292.28,2.09607,2.51353,1.93821,0.23747,0.26396,0.14861,0.05407,2.36169,3.54441,2.23486,0.00957571,0.00957571,0.00957571
5,1610.36,2.03319,2.40825,1.88132,0.23334,0.24606,0.14209,0.05066,2.40096,5.64487,2.12674,0.00943429,0.00943429,0.00943429
6,1928.57,1.99435,2.3392,1.83534,0.25845,0.41178,0.26409,0.10284,2.17608,8.46464,1.96611,0.00929286,0.00929286,0.00929286
7,2246.04,1.97493,2.29542,1.81861,0.29858,0.36446,0.2619,0.10542,2.08891,4.40209,1.9433,0.00915143,0.00915143,0.00915143
8,2563.99,1.94988,2.24542,1.7923,0.39121,0.35821,0.29704,0.127,2.09007,3.17575,1.90107,0.00901,0.00901,0.00901
9,2882.32,1.94396,2.2084,1.78891,0.36635,0.34946,0.29677,0.11854,2.18205,3.99653,1.89523,0.00886857,0.00886857,0.00886857
10,3200.21,1.91933,2.18584,1.76509,0.28823,0.44193,0.32271,0.12796,2.11247,6.3966,1.91995,0.00872714,0.00872714,0.00872714
11,3517.84,1.90164,2.14634,1.75201,0.43922,0.39414,0.35034,0.14543,2.08567,4.39836,1.91602,0.00858571,0.00858571,0.00858571
12,3836.02,1.8983,2.11777,1.74586,0.49409,0.38967,0.39022,0.16025,2.09128,3.25887,1.83708,0.00844429,0.00844429,0.00844429
13,4153.68,1.88446,2.08801,1.73826,0.48092,0.44307,0.43016,0.18492,2.05084,2.32831,1.83762,0.00830286,0.00830286,0.00830286
14,4472.05,1.87938,2.06729,1.72322,0.47718,0.43198,0.40564,0.18114,1.96584,2.46202,1.76699,0.00816143,0.00816143,0.00816143
15,4789.72,1.86026,2.05886,1.71548,0.53294,0.45977,0.4682,0.20651,1.98226,2.01961,1.74481,0.00802,0.00802,0.00802
16,5107.18,1.83512,2.02376,1.70345,0.5194,0.47055,0.47376,0.20646,1.96697,2.63318,1.76659,0.00787857,0.00787857,0.00787857
17,5426.62,1.84889,2.01553,1.68708,0.54346,0.4453,0.44778,0.19757,1.95262,2.51021,1.74171,0.00773714,0.00773714,0.00773714
18,5743.76,1.83912,1.99052,1.68938,0.58185,0.48546,0.51431,0.22215,1.98,2.39719,1.75021,0.00759571,0.00759571,0.00759571
19,6061.93,1.83547,1.98829,1.68472,0.53193,0.46788,0.45706,0.21086,1.94759,3.02881,1.73151,0.00745429,0.00745429,0.00745429
20,6379.73,1.8285,1.97448,1.67414,0.47491,0.42258,0.41005,0.17906,2.06645,2.75339,1.82857,0.00731286,0.00731286,0.00731286
21,6697.33,1.8132,1.94909,1.6764,0.55169,0.49907,0.50702,0.22047,2.0177,2.05659,1.78276,0.00717143,0.00717143,0.00717143
22,7017.22,1.80566,1.94369,1.66579,0.54399,0.48905,0.49481,0.22458,1.92212,2.11389,1.72082,0.00703,0.00703,0.00703
23,7334.31,1.81409,1.94639,1.66458,0.59719,0.49129,0.5327,0.23955,1.89816,2.07953,1.69192,0.00688857,0.00688857,0.00688857
24,7652.05,1.80218,1.92553,1.65659,0.57413,0.52239,0.54502,0.25748,1.91387,2.27856,1.69569,0.00674714,0.00674714,0.00674714
25,7969.98,1.79591,1.90629,1.66082,0.58653,0.51708,0.5391,0.24627,1.90434,2.05403,1.67899,0.00660571,0.00660571,0.00660571
26,8287.57,1.78966,1.89075,1.6512,0.53778,0.47418,0.48471,0.22322,1.94559,2.79978,1.73865,0.00646429,0.00646429,0.00646429
27,8604.52,1.78596,1.88292,1.64937,0.61411,0.52564,0.56319,0.26326,1.85766,1.85557,1.64327,0.00632286,0.00632286,0.00632286
28,8922.9,1.77623,1.86627,1.63555,0.60524,0.52335,0.56801,0.26613,1.8372,1.80218,1.64857,0.00618143,0.00618143,0.00618143
29,9239.84,1.76169,1.85302,1.63197,0.58663,0.51468,0.54851,0.25845,1.8989,1.84494,1.69886,0.00604,0.00604,0.00604
30,9558.39,1.76581,1.84176,1.63306,0.63434,0.53772,0.58859,0.27928,1.84463,1.8539,1.66237,0.00589857,0.00589857,0.00589857
31,9877.53,1.75854,1.82879,1.62137,0.62232,0.54274,0.58401,0.28497,1.80144,1.7772,1.60915,0.00575714,0.00575714,0.00575714
32,10194.9,1.75731,1.82014,1.62357,0.61081,0.53283,0.57161,0.27793,1.8209,1.81542,1.62258,0.00561571,0.00561571,0.00561571
33,10513.9,1.75388,1.81398,1.61482,0.63047,0.55654,0.59814,0.28769,1.83601,1.88142,1.63316,0.00547429,0.00547429,0.00547429
34,10835.4,1.7443,1.79864,1.61453,0.63189,0.55341,0.59361,0.28518,1.83091,1.82799,1.62636,0.00533286,0.00533286,0.00533286
35,11153.5,1.73434,1.78917,1.60711,0.63865,0.55554,0.60455,0.29578,1.79034,1.65736,1.58574,0.00519143,0.00519143,0.00519143
36,11471.9,1.74189,1.79196,1.60862,0.63822,0.56453,0.61067,0.29885,1.78739,1.84622,1.59855,0.00505,0.00505,0.00505
37,11789.4,1.73348,1.76707,1.59643,0.64108,0.55756,0.6049,0.3019,1.79114,1.7383,1.60088,0.00490857,0.00490857,0.00490857
38,12107.6,1.72547,1.76479,1.59824,0.65447,0.56345,0.6163,0.30108,1.78804,1.64681,1.59469,0.00476714,0.00476714,0.00476714
39,12426.5,1.72108,1.75869,1.58587,0.64851,0.56291,0.61361,0.30339,1.79272,1.64214,1.58482,0.00462571,0.00462571,0.00462571
40,12744.3,1.72234,1.74086,1.59112,0.67225,0.56289,0.62227,0.30601,1.8027,1.63319,1.60014,0.00448429,0.00448429,0.00448429
41,13062.5,1.71708,1.74359,1.58889,0.67318,0.5661,0.6298,0.31133,1.78812,1.62051,1.59036,0.00434286,0.00434286,0.00434286
42,13382.1,1.71014,1.73168,1.57853,0.67148,0.57934,0.63803,0.31509,1.76986,1.5644,1.57428,0.00420143,0.00420143,0.00420143
43,13699.9,1.69382,1.71034,1.57582,0.67111,0.56875,0.63097,0.31352,1.76133,1.54504,1.56438,0.00406,0.00406,0.00406
44,14018.6,1.70883,1.72184,1.58451,0.65321,0.58679,0.63593,0.31629,1.76813,1.65927,1.57431,0.00391857,0.00391857,0.00391857
45,14336.3,1.69633,1.70497,1.57384,0.6656,0.5744,0.63764,0.31921,1.75841,1.54026,1.56652,0.00377714,0.00377714,0.00377714
46,14655,1.68669,1.68203,1.56195,0.67277,0.57638,0.64189,0.3223,1.7492,1.55158,1.56184,0.00363571,0.00363571,0.00363571
47,14972,1.69174,1.69762,1.56947,0.68235,0.58307,0.64658,0.32651,1.74391,1.52799,1.55879,0.00349429,0.00349429,0.00349429
48,15291.5,1.67701,1.66979,1.55797,0.68158,0.57661,0.64706,0.32759,1.74003,1.51502,1.55255,0.00335286,0.00335286,0.00335286
49,15611,1.68345,1.67222,1.56145,0.6898,0.57866,0.65008,0.33046,1.73138,1.51947,1.54603,0.00321143,0.00321143,0.00321143
50,15927.9,1.67271,1.65419,1.55162,0.67266,0.59049,0.65382,0.33149,1.73474,1.51092,1.54456,0.00307,0.00307,0.00307
51,16245.6,1.67528,1.6559,1.55208,0.67204,0.59975,0.65956,0.33419,1.73296,1.5063,1.5388,0.00292857,0.00292857,0.00292857
52,16564.2,1.67421,1.65258,1.55144,0.68598,0.59056,0.65812,0.33674,1.72357,1.48564,1.53632,0.00278714,0.00278714,0.00278714
53,16882.8,1.66606,1.64702,1.54598,0.67284,0.59709,0.65836,0.33628,1.7129,1.47041,1.53396,0.00264571,0.00264571,0.00264571
54,17200.4,1.66571,1.6393,1.54248,0.68315,0.59536,0.66003,0.33831,1.70279,1.46104,1.5273,0.00250429,0.00250429,0.00250429
55,17517.4,1.663,1.62897,1.53777,0.68679,0.59044,0.66254,0.33985,1.70303,1.46334,1.52468,0.00236286,0.00236286,0.00236286
56,17835.4,1.65708,1.63321,1.54208,0.69245,0.58913,0.66497,0.34381,1.69529,1.44704,1.52192,0.00222143,0.00222143,0.00222143
57,18153.8,1.64353,1.61738,1.52774,0.69773,0.58854,0.66493,0.34449,1.68801,1.44062,1.51761,0.00208,0.00208,0.00208
58,18471.6,1.64065,1.60907,1.52996,0.70399,0.5886,0.66724,0.34381,1.69374,1.43875,1.51886,0.00193857,0.00193857,0.00193857
59,18789.3,1.64111,1.60513,1.52868,0.69165,0.597,0.66578,0.34508,1.69051,1.43111,1.51702,0.00179714,0.00179714,0.00179714
60,19107.6,1.63887,1.59945,1.53321,0.68987,0.59366,0.66649,0.3453,1.69154,1.426,1.51743,0.00165571,0.00165571,0.00165571
61,19382.7,1.58497,1.47287,1.53776,0.69518,0.59677,0.67001,0.34797,1.68618,1.3982,1.51375,0.00151429,0.00151429,0.00151429
62,19658.2,1.56893,1.39328,1.5336,0.68912,0.59947,0.67016,0.35044,1.68435,1.38604,1.51591,0.00137286,0.00137286,0.00137286
63,19934.2,1.55787,1.37377,1.52569,0.6906,0.60212,0.67127,0.35145,1.67868,1.37643,1.511,0.00123143,0.00123143,0.00123143
64,20209.6,1.55591,1.36694,1.52356,0.68887,0.60973,0.67294,0.35259,1.67803,1.36948,1.51197,0.00109,0.00109,0.00109
65,20484.6,1.54206,1.35679,1.51612,0.69363,0.60849,0.67413,0.35496,1.67432,1.36748,1.50771,0.000948571,0.000948571,0.000948571
66,20759.7,1.53863,1.3486,1.50473,0.69787,0.61019,0.67734,0.35621,1.67095,1.36093,1.50625,0.000807143,0.000807143,0.000807143
67,21034.3,1.53645,1.34509,1.50073,0.70086,0.61346,0.67807,0.35714,1.66811,1.3589,1.504,0.000665714,0.000665714,0.000665714
